ImageName,FirstMatchImage,FirstMatchScore,SecondMatchImage,SecondMatchScore,ThirdMatchImage,ThirdMatchScore,FourthMatchImage,FourthMatchScore,FifthMatchImage,FifthMatchScore
9c1cd2644a8fedc78880644b64d65699.jpg,63fc7583e20c46444c634c32e29db9b8.jpg,34,62b3051d93d3dbd47fde8ecfe09e2c11.jpg,26,3f116bbf04e96b582e535b95edfcf624.jpg,21,5c585a761c36ad8737ab77e27355dc0a.jpg,18,3b69d01bc9ce9a11b32fd64b107cbcfa.jpg,16
5537047531ebe6705b0b9e8e1d029732.jpg,8d3b887a8eb71da47185802d7fcfce0e.jpg,34,74dcb03a4a41024e3332555143ad9c84.jpg,33,5dffcc1029c2fd8b9567b3af5202a85a.jpg,23,b1bb2262ba95c2c42640243f535d7dae.jpg,19,9d645bef1485c3ef5c25e91f9e550c26.jpg,15
21b4305e1af1fb5f35376bf13ad49be1.jpg,0db3963234841ac3abe223d3fe40a381.jpg,35,c876a246641b8f2f5e540d6a10f1245a.jpg,34,e8d40eddfbb0967ed857007134270103.jpg,23,c5d1a2f899d27fff511d7711cad02a97.jpg,20,fea4bc57a729df66d1feb839268d64c4.jpg,18
9bb46cc88dde43d723602cc2759920ae.jpg,d5cd76ede4ed1e8f6be8fe24bbb81001.jpg,30,02f29ceb6972d945f1161e4509710c75.jpg,29,3f116bbf04e96b582e535b95edfcf624.jpg,17,6bb3ac11d36533324151596c8be756fc.jpg,16,e660b5316ed2d85b8bf1aff825d627db.jpg,13
ff3cf0e35a18fab2f2c9c781efa678a9.jpg,8d1bdfb949aac8a3c8c591921a5bd611.jpg,42,0820984f50123e0b988b9c6d5b894db3.jpg,42,666e60bb8d5e74bc8edbfebff7f5a253.jpg,32,2bb194289e9ee7280888a27604a30169.jpg,32,d8caa0dfa0e0f2f9cebb43aa1a559568.jpg,28
a25b6f60ca9032a0b5650045dc1d289e.jpg,135ca3038bc9bcaa7841bd7e1c533da6.jpg,66,b6ab72f3037fbc21abbe269639fd5b1e.jpg,42,6ba541fc454b29cbd52f03f59c0659a0.jpg,27,137a195bcb74e424718ff8251ef46607.jpg,15,a702a76ec55824501a170274d3625437.jpg,13
3b69d01bc9ce9a11b32fd64b107cbcfa.jpg,5c585a761c36ad8737ab77e27355dc0a.jpg,30,eb256d8c4eee2c257419d1cf628fdb50.jpg,28,7aef0940322baa6a37f2fb731b823fae.jpg,22,62b3051d93d3dbd47fde8ecfe09e2c11.jpg,21,9c1cd2644a8fedc78880644b64d65699.jpg,17
92af8a96628feb7bb6947b8e5e6f801a.jpg,c3d721c533fbdfea3999e7a50dd9ed71.jpg,42,a38b63a53b5440e59f548db2665c2b2a.jpg,39,691cc0b3d545c7afdb8b5f1e760ef6ff.jpg,30,d10b4154d39c803ca12ee88fb8b5bb8a.jpg,25,69837dad24955b358d0c0df43c4de66d.jpg,24
7aeea434dbf030666ddfdbefacd651d3.jpg,ffc5d4080412c895a0d44c10c626b643.jpg,27,2dd6ea3e558f328cbac2db87afc9ebba.jpg,24,282fe143341347a9362df00842bb20fc.jpg,13,e257749333a573d80a039a10af0cc9f4.jpg,12,85b605273147b07677fd68b95126ff07.jpg,10
26bd3844d33ca602df6dd88302740aca.jpg,1935f72ceac17d2a330e649e8a1f5ccb.jpg,19,47f1c21bb86b7716e6a55b94658edf63.jpg,15,d02372b4877d32b75e07f355224b45c4.jpg,10,ce07f6ec78af9277d603ced161244f74.jpg,7,e67bf61cffdd0860096914b6bd362d66.jpg,7
